"#",Lens ID,Title
70,047-858-988-892-582,SOLVING INEQUALITY CONSTRAINED OPTIMIZATION PROBLEM ON HYBRID QUANTUM-CLASSICAL COMPUTING SYSTEM
71,049-744-716-104-463,Quantum dot devices
72,058-023-263-151-123,Latency-Reduced Quantum Error Detection Graph Decoding
73,065-745-766-294-263,OBSERVABLE BACKPROPAGATION FOR IMPROVING THE DEPTH OF A QUANTUM SIMULATION
74,072-387-734-114-949,QUBIT SURFACE ALLOCATION SYSTEM
75,108-884-918-119-770,ENTANGLEMENT PRESERVING LOW-NOISE FREQUENCY CONVERSION OF PHOTONS ENTANGLED WITH A TRAPPED ION INTO THE TELECOMMUNICATIONS C-BAND
76,153-907-812-976-601,System and method for error correction in quantum computing
77,152-790-885-808-868,Nanoribbon-based quantum dot devices
78,170-721-788-732-455,PERFORMANCE OF READOUT AND RESET OF FLUXONIUM QUBITS
79,181-231-791-995-907,KINETIC ENERGY DENSITY FUNCTIONAL MACHINE LEARNING MODEL
80,191-953-074-838-930,QUANTUM DOT DEVICES
81,196-275-146-647-124,Power supply method and device of ion trap and quantum computer
82,199-463-126-903-044,Balanced inductive and capacitive resonator coupling for quantum computing system
83,015-435-926-184-251,GENERATIVE MODELING OF QUANTUM HARDWARE
84,086-897-709-608-03X,Quantum computing system and method
85,114-899-996-607-517,INCREMENTAL GENERATION OF QUANTUM CIRCUITS
86,008-672-994-087-299,STRONG SIMULATION METHODS FOR UNIT TESTING QUANTUM SOFTWARE
87,039-020-347-089-985,IMPLEMENTATION OF VARIATIONAL QUANTUM EIGENSOLVER ALGORITHM BY USING TENSOR NETWORK FRAMEWORK
88,157-250-201-044-495,ION IMPLANT DEFINED NANOROD IN A SUSPENDED MAJORANA FERMION DEVICE
89,082-761-480-343-652,INTEGRATING CIRCUIT ELEMENTS IN A STACKED QUANTUM COMPUTING DEVICE
90,040-674-554-806-105,PERFORMING UNBIASED FERMIONIC QUANTUM MONTE CARLO CALCULATIONS USING QUANTUM COMPUTERS AND SHADOW TOMOGRAPHY
91,038-589-097-251-192,COUPLING ARCHITECTURES FOR SUPERCONDUCTING FLUX QUBITS
92,059-874-973-989-360,System and method for quantum resistant key distribution for securing GTP traffic
93,010-228-276-585-278,"Demodulation and smoothing of amplitude, frequency, and phase modulated pulses for optimal implementation of entangling gates in ion trap quantum computers"
94,008-131-116-544-757,CRYOGENIC FILTER MODULES FOR SCALABLE QUANTUM COMPUTING ARCHITECTURES
95,035-122-118-705-90X,METHODS AND APPARATUS FOR PERFORMING PHASE OPERATIONS
96,092-318-804-598-771,QUANTUM ENTANGLEMENT DISTRIBUTION USING MULTIPLE OPTICAL PATHS AND AUTOMATED SWITCHOVER
97,101-117-907-993-372,QUANTUM CIRCUIT SIMULATION METHOD AND INFORMATION PROCESSING APPARATUS
98,129-147-654-334-021,Detecting a function section in a representation of a quantum circuit
99,135-120-676-644-212,GENERATION AND COMPILATION OF REPRESENTATIONS OF FAULT TOLERANT QUANTUM CIRCUITS
100,147-642-015-222-016,PERFORMING UNITARY ITERATION AND INDEXED OPERATIONS
101,169-303-494-023-736,Assisted composition of quantum algorithms
102,161-508-101-576-558,Identifying minimum-energy resonance region at Majorana island
103,059-600-666-989-864,T-joint connector for quantum computing systems
104,016-407-002-739-550,Quantum chip maintenance method and electronic equipment
105,080-854-073-241-691,Packet-switching quantum key distribution
106,195-987-536-431-029,ENHANCED DECODING OF QUANTUM ERROR CORRECTION CODES WITH IN-PHASE AND QUADRATURE INFORMATION
107,133-978-547-267-46X,QUANTUM STATE MEASUREMENT LOGIC FACILITATING A QUANTUM STATE MEASUREMENT BACKEND PROCESS
108,100-088-590-985-748,MONOLITHICALLY INTEGRATED REMNANT MAGNETIC FIELD AND GRADIENT GENERATION IN ION TRAPS
109,089-470-027-529-285,QUANTUM ERROR CORRECTION USING NEURAL NETWORKS
110,110-205-769-202-013,"APPARATUSES, COMPUTER-IMPLEMENTED METHODS, AND COMPUTER PROGRAM PRODUCTS FOR TWO-DIMENSIONAL QUANTUM PROGRAM COMPILATION"
111,083-890-428-898-164,DATA PROCESSING METHOD AND APPARATUSES FOR IMPLEMENTING THE SAME
112,110-489-277-161-507,Scheduler for planet-scale computing system
113,020-360-576-570-933,POST-QUANTUM RISK ANALYSIS USING CIPHER SUITE DEPENDENCY GRAPHS AND RISK SCORING USING CALL PATHS
114,009-798-461-564-857,IMPROVED PARALLEL MATCHING FOR QUANTUM ERROR CORRECTION
115,004-297-056-622-26X,Low temperature filter module for scalable quantum computing architecture
116,006-744-020-978-373,QUANTUM VARIABLES IMPLEMENTATION
117,002-977-239-073-255,EFFICIENT MOTIONAL-MODE CHARACTERIZATION FOR HIGH-FIDELITY TRAPPED-ION QUANTUM COMPUTING
118,017-690-373-357-474,ADAPTIVE MITIGATION OF FREQUENCY CROWDING OF SUPERCONDUCTING QUBITS VIA LASER ANNEALING
119,023-172-451-001-199,Error corrected variational algorithms
120,045-076-414-636-062,Simulation of quantum circuits
121,046-079-770-635-998,QUANTUM OBJECT CONFINEMENT APPARATUS
122,078-447-340-711-484,LATENCY-REDUCED QUANTUM ERROR DETECTION GRAPH DECODING
123,055-732-995-476-911,Quantum computing using multiple quantum computers
124,090-425-513-189-282,RADIO ACCESS NETWORK ADJUSTMENT
125,116-184-387-055-423,METHODS AND APPARATUS FOR PERFORMING PHASE OPERATIONS
126,135-570-945-510-967,TRAINING A COMBINATION OF MULTIPLE QUANTUM AND CLASSICAL KERNELS
127,144-471-109-728-103,Physical representation of quantum entanglement
128,198-028-348-740-575,Overlap joint flex circuit board interconnection
129,196-185-899-594-064,Low-cost linear orders for quantum-program simulation
130,019-305-282-218-013,SIMULATION OF QUANTUM CIRCUITS
131,010-013-857-720-310,USING RANDOM WALKS FOR ITERATIVE PHASE ESTIMATION
132,199-293-880-173-355,GRADIENT-BASED QUANTUM ASSISTED HAMILTONIAN LEARNING
133,167-314-275-663-443,MATRIX PRODUCT STATE-BASED DECODERS FOR STABILIZER CODES UNDER DEVICE NOISE FOR QUANTUM COMPUTING AND INFORMATION PROCESSING
134,024-275-344-208-395,METHOD FOR MANAGEMENT OF PROCESSING RESOURCES AND APPARATUS FOR IMPLEMENTING THE SAME
135,103-854-337-186-626,QUANTUM ERROR CORRECTION USING NEURAL NETWORKS
136,129-403-894-907-132,EFFICIENT QUANTUM MEMORIES VIA SHADOW TOMOGRAPHY
137,112-442-946-072-240,Metered Distribution of Quantum Entanglement
138,027-637-369-960-916,QUANTUM BIT ROUTING
139,036-140-411-411-156,Mechanically tolerant couplers
140,058-845-661-654-087,MOLECULAR SIMULATION METHOD AND INFORMATION PROCESSING APPARATUS
141,059-596-380-518-46X,Superconducting bump bonds for quantum computing systems
142,088-077-369-443-038,Post-quantum cryptography secured execution environments for edge devices
143,094-326-593-191-236,METHOD AND SYSTEM FOR ESTIMATING A GROUND STATE ENERGY OF A QUANTUM CHEMICAL SYSTEM
144,086-813-808-883-095,SYSTEM AND METHOD FOR VARIATIONAL QUANTUM LINEAR SOLVER FOR EQUATIONS MODULO 2
145,131-764-014-743-594,QUBIT CONTROL ELECTRONICS
146,134-378-740-728-026,Diamondoid materials in quantum computing devices
147,134-433-518-919-744,MANAGEMENT OF QUEUES FOR VARIOUS QUANTUM PROCESSING UNITS PROVIDED BY A QUANTUM COMPUTING SERVICE
148,138-193-986-238-451,ACCELERATING QUANTUM ALGORITHMS WITH PRECOMPUTATION
149,149-084-068-123-897,CONTINUOUS AUTHENTICATION OF PEERS IN NETWORKS USING POST-QUANTUM PRE-SHARED KEYS
150,149-858-733-479-292,QUANTUM PROCESSOR CALIBRATION WITH MEMORY AND FEEDBACK
151,161-565-247-278-01X,TRACKING AND MITIGATION OF QUASIPARTICLE POISONING ERRORS IN MAJORANA QUANTUM COMPUTING SYSTEMS
152,171-215-374-875-127,MAGIC STATE FACTORY CONSTRUCTIONS FOR PRODUCING CCZ AND T STATES
153,182-796-642-800-082,SELECTING DECODER USED AT QUANTUM COMPUTING DEVICE
154,199-072-699-049-916,TRAINING MACHINE LEARNING FORCE FIELDS MODEL VIA ACTIVE LEARNING WITH SUBSTRUCTURE UNCERTAINTY MINIMIZATION
155,104-968-340-574-55X,Edge capacitive coupling for quantum chips
156,036-444-239-826-298,SOLVING QUADRATIC OPTIMIZATION PROBLEMS OVER ORTHOGONAL GROUPS USING A QUANTUM COMPUTER
157,054-512-212-049-315,QUANTUM SHIFT REGISTER CODES
158,075-250-791-711-282,CONTROL OF QUANTUM COMPUTING CIRCUIT DEVICES
159,130-206-019-457-041,Quantum error correction
160,155-435-955-963-410,Change Detection in Images Using Quantum Computers
161,017-317-542-635-565,MATRIX PRODUCT STATE-BASED DECODERS FOR STABILIZER CODES UNDER DEVICE NOISE FOR QUANTUM COMPUTING AND INFORMATION PROCESSING
162,017-608-697-192-674,Automated Keyword Generation Based on Similarity Score
163,080-682-675-248-040,METHOD FOR GENERATING A QUANTUM COMPUTING PROGRAM AND APPARATUS FOR IMPLEMENTING THE SAME
164,081-106-034-986-845,Quantum circuit valuation
165,097-493-499-354-382,GENERATION OF VERIFIABLE PRIVATE RANDOMNESS USING DISTRIBUTION OF QUANTUM ENTANGLEMENT
166,108-540-258-137-324,QUANTUM BACKPROPAGATION AND DYNAMIC PROGRAMMING
167,132-466-184-409-223,ITERATIVE PREPARATION OF STATIONARY QUANTUM STATES USING QUANTUM COMPUTERS
168,121-199-370-131-955,Qubit control electronics
169,156-672-794-641-968,Quantum dot devices with magnetic gates
170,157-550-109-195-375,RESETTING QUANTUM STATES OF QUBITS VIA ON-CHIP LOSSY RESONATORS WITHIN QUANTUM COMPUTING SYSTEMS
171,156-318-202-510-103,Techniques for controlling small angle Mølmer-Sørensen gates and for handling asymmetric spam errors
172,167-873-299-086-813,Visual presentation of quantum-classical interface in a user experience
173,171-471-865-461-87X,SECURITY APPARATUS AND METHOD FOR WIRELESS COMMUNICATION
174,015-488-065-841-676,Quantum bit manipulation method and related computing device
175,198-798-410-897-110,Quantum dot array devices with shared gates
176,074-368-822-851-817,BAYESIAN TUNING FOR QUANTUM LOGIC GATES
177,123-697-253-417-246,QUANTUM CIRCUITS WITH REDUCED T GATE COUNT
178,003-232-653-957-208,METHODS FOR GENERATING A POLYNOMIAL HISTORY STATE
179,062-232-355-948-127,Matrix Product State-Based Decoders For Stabilizer Codes Under Device Noise For Quantum Computing And Information Processing
180,086-044-519-391-330,QUANTUM CIRCUITS WITH REDUCED T GATE COUNT
181,048-636-526-174-845,DYNAMIC CIRCUIT BRANCH PREDICTION
182,159-808-577-710-989,LOCAL PRE-MATCHING PASS FOR CORRELATED DECODING OF QUANTUM ERROR CORRECTING CODES
183,044-933-831-796-523,PIPELINED ENTANGLEMENT DISTRIBUTION ARCHITECTURE FOR QUANTUM CHARGE-COUPLED DEVICE (QCCD)-BASED QUANTUM COMPUTING
184,007-921-034-060-118,Reusing Resumption Secrets Obtained from Post-Quantum Ciphers
185,047-319-208-172-646,Identifying minimum-energy resonance region at Majorana island
186,056-455-079-483-140,LOWER-BOUNDING DISTANCE OF STABILIZER CHANNEL SEQUENCE
187,058-830-862-784-759,METHOD FOR DETERMINING A QUANTUM PHASE PARAMETER AND APPARATUS FOR IMPLEMENTING THE SAME
188,066-408-990-582-998,Causally-Aware Attribute Controlled Statement Generation in Language Models
189,081-579-485-857-778,Optimal calibration of gates in a quantum computing system
190,082-788-930-507-336,INCREASING REPRESENTATION ACCURACY OF QUANTUM SIMULATIONS WITHOUT ADDITIONAL QUANTUM RESOURCES
191,069-305-588-249-019,"Josephson parametric amplifier, quantum computing device and quantum computing system"
192,070-937-742-145-527,TEMPORAL QUANTUM FEATURE MAPS FOR KERNEL-BASED SEQUENTIAL DATA PREDICTION
193,111-415-498-518-498,REUSING RESUMPTION SECRETS OBTAINED FROM POST-QUANTUM CIPHERS
194,114-746-457-443-755,HYBRID SPACE-FIBER QUANTUM NETWORKS FOR WIDESPREAD ENTANGLEMENT DISTRIBUTION
195,122-263-087-480-121,"METHODS AND SYSTEMS FOR ESTIMATING A GRADIENT, AND METHODS AND SYSTEMS FOR CONSTRUCTING A PULSE PROGRAM"
196,056-522-711-772-956,FLUX QUBIT READOUT OF TRANSMON QUBITS
197,140-525-556-690-835,QUANTUM COMPUTING DEVICE WITH DISCRETE JOSEPHSON JUNCTIONS
198,148-383-165-852-649,OPERATOR AVERAGING WITHIN QUANTUM COMPUTING SYSTEMS
199,161-931-143-969-470,Magic state factory constructions for producing CCZ and T states
200,190-448-388-744-263,COMPRESSED PATHS IN MATCHING-BASED QUANTUM DECODERS
201,034-019-634-927-793,REFINING QUBIT CALIBRATION MODELS USING SUPERVISED LEARNING
202,099-629-160-220-994,Constructing and programming quantum hardware for quantum annealing processes
203,088-194-035-351-486,Parallel cross entropy benchmarking
204,180-263-586-229-322,QUANTUM COMPUTING MONITORING SYSTEM
205,033-575-607-788-952,Resetting Quantum States of Qubits Via On-Chip Lossy Resonators within Quantum Computing Systems
206,057-220-453-041-861,Systems and methods for providing user authentication for quantum-entangled communications in a cloud environment
207,172-532-189-776-632,IMPLEMENTING QUANTUM LOGIC GATES USING PULSE ANALYSIS FOR QUANTUM COMPUTING SYSTEM
208,049-146-395-512-756,SCALABLE THERMALIZATION OF WIRING AND ATTENUATION OF SIGNALS FOR QUANTUM DEVICES WITHIN QUANTUM COMPUTING SYSTEMS
209,024-506-521-969-853,MODELING EXPONENTIALLY LARGE CLASSICAL PHYSICAL SYSTEMS USING QUANTUM COMPUTING
210,167-115-294-512-788,"PULSE SHAPING FOR FAST, LOW-LEAKAGE PARAMETRICALLY MODULATED QUANTUM COMPUTING GATES"
211,135-542-781-895-013,UNIVERSAL FAULT-TOLERANT QUANTUM COMPUTATION WITH A 2D ABELIAN TOPOLOGICAL STABILIZER CODE USING MAGIC PATCHES
212,186-895-854-206-893,MEASUREMENT SEQUENCE DETERMINATION FOR QUANTUM COMPUTING DEVICE
213,112-149-879-762-82X,Reduction of qubit lattice that includes dead data qubits and auxiliary qubits
214,010-395-565-905-539,QUANTUM DOT ARRAY DEVICES WITH SHARED GATES
215,022-862-156-852-347,QUANTUM DEVICE
216,042-372-225-990-852,RESOURCE ESTIMATION AND MANAGEMENT FOR QUANTUM COMPUTING SYSTEMS
217,035-981-458-432-616,QUANTUM STATE INPUTS FOR TAILORED AND EXTERNALLY CORRECTED COUPLED CLUSTER METHODS
218,087-220-556-078-454,Modular Package of Quantum Hardware
219,084-984-502-749-110,OPTICAL BENCH SYSTEM FOR PROVIDING OPTICAL PROPERTY-CONTROLLED BEAMS TO ARRAY OF TARGET LOCATIONS
220,099-188-932-383-240,THERMALLY DECOUPLED SIGNAL TRANSMISSION LINES
221,126-797-279-176-652,MAXIMIZING CIRCUIT EXECUTION DUTY CYCLE BY STREAMING GATES
222,131-237-825-099-97X,Quantum approximate chaos optimization for use in a hybrid computing system
223,057-955-448-041-784,QUANTUM DEVICE
224,123-445-174-178-549,CONTAINERIZED EXECUTION ORCHESTRATION OF QUANTUM TASKS ON QUANTUM HARDWARE PROVIDER QUANTUM PROCESSING UNITS
225,064-747-750-806-132,IDENTIFYING SEVERE HOOK FAULTS OF STABILIZER CHANNEL
226,117-142-563-310-536,Companion data compression for quantum computing devices
227,068-739-797-482-820,INFIDELITY ANALYSES OF TRAPPED ION QUANTUM COMPUTERS FOR IMPERFECT BEAM GEOMETRY
228,166-929-691-298-101,QUANTUM ERROR CORRECTION USING NEURAL NETWORKS
229,031-760-573-916-451,Edge capacitive coupling for quantum chips
230,124-283-796-981-616,Characterization of Quantum Logic Gates via Dynamical Decoupling
231,005-052-692-344-505,Thermalization and attenuation of signals within quantum computing systems via directional couplers
232,030-373-135-745-078,OPTIMAL QUBIT ROUTING USING DOUBLE STOCHASTIC MATRICES
233,088-463-797-733-619,SOLVING OPTIMIZATION PROBLEM ON HYBRID QUANTUM-CLASSICAL COMPUTING SYSTEM
234,086-681-520-856-598,SPARSE NOISE TOMOGRAPHY-BASED QUBIT MAPPING
235,095-313-669-950-66X,On-demand co-processing resources for quantum computing
236,070-377-799-031-122,Adaptive qubit-based threshold handshaking for quantum safe protocols
237,069-058-971-755-496,TRANSMISSION STRUCTURE INCLUDING INTERWOVEN ELECTRICAL CONDUCTORS
238,105-566-094-079-768,MEMORY MANAGEMENT IN A QUANTUM OPERATING SYSTEM
239,107-894-877-218-950,HYBRID QUANTUM-CLASSICAL COMPUTING ENVIRONMENTS
240,099-705-600-783-400,POST-QUANTUM CRYPTOGRAPHY FOR SECURE BOOT
241,146-132-618-066-239,CHANGE DETECTION IN IMAGES USING QUANTUM COMPUTERS
242,149-171-327-098-581,Quantum resource estimation using a re-parameterization method
243,150-542-342-670-406,Apparatus and methods for quantum computing with pre-training
244,173-943-187-768-981,TOPOLOGICAL OUTCOME CODES FOR CLIFFORD CIRCUITS
245,174-597-663-157-354,Determination of quantum circuit compilation passes and/or compilation parameters optimized for one or more performance metrics
246,027-801-790-680-637,MAGIC STATE FACTORY CONSTRUCTIONS FOR PRODUCING CCZ AND T STATES
247,198-680-004-973-196,SURFACE CODE COMPUTATIONS USING ISWAP GATES
248,055-084-183-417-93X,MITIGATION OF QUBIT CROSSTALK-INDUCED ERRORS IN QUANTUM COMPUTING AND INFORMATION PROCESSING SYSTEMS
249,005-054-903-648-824,Fast intensity stabilization of multiple controller beams with continuous integrating filter
250,161-486-541-491-721,Quantum computing with kernel methods for machine learning
251,124-997-341-719-86X,Fast two-qubit gates on a trapped-ion quantum computer
252,142-635-566-982-612,Quantum code with pairwise checks
253,122-607-422-465-364,INTEGRATING CIRCUIT ELEMENTS IN A STACKED QUANTUM COMPUTING DEVICE
254,075-374-438-299-105,Machine-Learning Based Quantum Noise Decoder
255,102-503-317-136-559,FAULT-TOLERANT QUANTUM COMPUTING ARCHITECTURE
256,107-069-674-886-81X,Optimizing circuit compiler for trapped-ion quantum computers
257,060-137-171-021-337,IDENTIFYING MINIMUM-ENERGY RESONANCE REGION AT MAJORANA ISLAND
258,053-971-817-568-691,"QUANTUM DEVICE, QUANTUM COMPUTING APPARATUS, AND QUANTUM COMPUTING METHOD"
259,099-863-504-517-528,APPLYING QUANTUM GATES INSIDE WIRE CUTS
260,096-311-842-756-885,Process and system for managing data flows for the unified governance of a plurality of intensive computing solutions
261,138-234-479-848-077,CENTRALIZED LASER ANNEALING MANAGEMENT FOR MULTIPLE QUANTUM COMPUTING-BASED DEVICES
262,027-982-661-025-383,QUANTUM CIRCUITS FOR MOVING A SURFACE CODE PATCH
263,062-456-283-400-316,TOMOGRAPHY OF UNITARY MATRIX USING QUANTUM COMPUTING DEVICE
264,164-876-675-033-139,"OPTICAL CIRCUIT, QUANTUM COMPUTING APPARATUS, AND OPTICAL CIRCUIT MANUFACTURING METHOD"
265,123-306-119-179-063,PERFORMING UNBIASED FERMIONIC QUANTUM MONTE CARLO CALCULATIONS USING QUANTUM COMPUTERS AND SHADOW TOMOGRAPHY
266,044-752-356-866-613,Simultaneous Configuration of Programmable Logic Fabric and Disaggregated Dies
267,069-290-838-572-670,QUANTUM ERROR CORRECTION USING NEURAL NETWORKS
268,136-234-026-694-957,Quantum computer designs with core computing and cache regions that utilize lattice surgery
269,006-208-485-488-623,CLIFFORD CIRCUIT FORECASTING WITHOUT FORWARD FAULT PROPAGATION
270,091-541-035-697-825,Methods and apparatus for performing phase operations
271,095-115-828-039-076,QUBIT CONTROL ELECTRONICS
272,135-855-349-665-507,NESTED QUANTUM ERROR CORRECTION CODES FOR FAULT-TOLERANT QUANTUM COMPUTATION
273,132-192-822-983-41X,Quantum device simulation using natural-orbital basis
274,137-360-560-849-65X,EFFICIENT SCHEDULING OF PAULI-TERMS FOR QUANTUM COMPUTING
275,193-349-667-494-338,Quantum dot devices with fins
276,004-355-038-406-953,AUTOMATING SOLVING NP PROBLEMS IN ANNEALER SYSTEMS
277,168-870-314-746-609,METHODS AND APPARATUS FOR PERFORMING PHASE OPERATIONS
278,117-601-562-128-118,QUANTUM COMPUTING COMPILING
279,198-836-859-358-920,Post quantum secure ingress/egress network communication
280,187-487-728-587-06X,ACCELERATING QUANTUM ALGORITHMS WITH PRECOMPUTATION
281,196-113-494-483-689,Preempting quantum programs in quantum computing device
282,191-520-728-377-907,SELECTING DECODER USED AT QUANTUM COMPUTING DEVICE
283,038-098-302-853-410,Variational quantum state preparation
284,033-862-394-283-193,FABRICATING TRANSMON QUBIT FLIP-CHIP STRUCTURES FOR QUANTUM COMPUTING DEVICES
285,174-988-775-123-333,SEMICONDUCTOR-SUPERCONDUCTOR HYBRID STRUCTURE WITH BUFFER REGION
286,053-593-466-002-892,DATA PROCESSING METHOD AND APPARATUSES FOR IMPLEMENTING THE SAME
287,123-327-500-587-763,Determination of characteristics of a molecule by controlling coupling strengths between qubits of a quantum device during a series of measurements
288,091-261-044-126-403,GENERATING OPTIMAL SAMPLES IN QUANTUM OPTIMIZATION ALGORITHMS
289,091-123-753-929-609,"CHARACTERIZATION, ANALYSIS AND CATEGORIZATION OF QUANTUM PROGRAMS WITHOUT EXECUTING THEM"
290,066-512-576-152-116,Universal fault-tolerant quantum computation with a 2D abelian topological stabilizer code using magic patches
